id,Country,Name,Description,Type,Autumn,Winter,Spring,Summer,Ingredients,Food_Groups,Total_Energy,Total_Protein,Total_Fat,Total_Carbs,Total_Fibre,Total_Calcium,Total_Iron,Total_Folate,Dishes,Quantities,Food_Groups_Counter
1001,Ireland,Tea and biscuits,Biscuit/chocolate with tea and milk,Snack,Y,Y,Y,Y,"[[""17-377"", ""12-596""], [""11-813""]]","[[""WY"", ""BAK""], [""AM""]]",162,2.52,8.07,21.119999999999997,0.93,71.4,0.663,5.699999999999999,"[1001, 1003]","[[235.0, 30.0], [30.0]]","[[""WY"", 1, 235.0], [""BAK"", 1, 30.0], [""AM"", 1, 30.0]]"
1002,Ireland,Tea and brown bread toast,Brown bread with fat spread and tea and milk,Snack,Y,Y,Y,Y,"[[""17-377"", ""12-596""], [""11-982"", ""17-655""]]","[[""WY"", ""BAK""], [""AF"", ""OA""]]",248.5,8.004,10.788,31.934,5.084,113.97999999999999,1.7522,30.919999999999998,"[1001, 1002]","[[235.0, 30.0], [62.0, 10.0]]","[[""WY"", 1, 235.0], [""BAK"", 1, 30.0], [""AF"", 1, 62.0], [""OA"", 1, 10.0]]"
1003,Ireland,Tea and scone,Bread/scone with fat spread and tea with milk,Snack,Y,Y,Y,Y,"[[""17-377"", ""12-596""], [""11-958"", ""17-073"", ""17-655""]]","[[""WY"", ""BAK""], [""AP"", ""SC"", ""OA""]]",420.79999999999995,7.0600000000000005,19.403999999999996,58.308,1.9679999999999997,166.94,1.0259999999999998,8.14,"[1001, 1004]","[[235.0, 30.0], [82.0, 16.0, 10.0]]","[[""WY"", 1, 235.0], [""BAK"", 1, 30.0], [""AP"", 1, 82.0], [""SC"", 1, 16.0], [""OA"", 1, 10.0]]"
1004,Ireland,Fruit snack,Banana and clementines,Snack,Y,Y,Y,Y,"[[""14-318""], [""14-326""]]","[[""FA""], [""FA""]]",126.33,1.9409999999999998,0.268,31.154,2.777,25.83,0.38610000000000005,30.77,"[1005, 1006]","[[118.0], [75.0]]","[[""FA"", 2, 193.0]]"
1005,Ireland,"Porridge, toast and raspberries","Porridge, toast and raspberries",Breakfast,Y,Y,Y,Y,"[[""11-788"", ""12-313""], [""11-982""], [""14-375""]]","[[""A"", ""BAH""], [""AF""], [""FA""]]",414.7,18.018,8.966,70.478,10.468,332.36,3.4244,98.24,"[1013, 1014, 1015]","[[50.0, 200.0], [44.0], [80.0]]","[[""A"", 1, 50.0], [""BAH"", 1, 200.0], [""AF"", 1, 44.0], [""FA"", 1, 80.0]]"
1006,Ireland,"Sandwich with egg, lettuce and tomato, with low-fat yogurt and mandarin oranges","Sandwich with egg, lettuce and tomato, with low-fat yogurt and mandarin oranges",Lunch,Y,Y,Y,Y,"[[""12-941"", ""11-1117"", ""13-520"", ""13-517""], [""12-379""], [""14-327""]]","[[""CA"", ""AF"", ""DG"", ""DG""], [""BN""], [""FA""]]",398.36,33.32,3.678,61.916,4.8020000000000005,524.4399999999999,1.2957999999999998,158.04,"[1016, 1017, 1018]","[[120.0, 44.0, 50.0, 80.0], [250.0], [172.0]]","[[""CA"", 1, 120.0], [""AF"", 1, 44.0], [""DG"", 1, 50.0], [""BN"", 1, 250.0], [""FA"", 1, 172.0]]"
1007,Ireland,Tofu stirfry with noodles,Tofu stirfry with noodles,Evening Meal,Y,Y,Y,Y,"[[""13-570"", ""11-724"", ""15-621""]]","[[""DB"", ""AD"", ""DR""]]",779.32,37.956,16.060000000000002,128.774,12.9,179.06,6.948200000000001,55.31999999999999,[1019],"[[200.0, 342.0, 80.0]]","[[""DB"", 1, 200.0], [""AD"", 1, 342.0], [""DR"", 1, 80.0]]"
1008,Ireland,Pear,Pear,Snack,Y,Y,Y,Y,"[[""14-365""]]","[[""F""]]",85.8,0.585,0.195,22.035,5.265,13.65,0.273,11.7,[1020],[[195.0]],"[[""F"", 1, 195.0]]"
1009,Ireland,Apple,Apple,Snack,Y,Y,Y,Y,"[[""14-319""]]","[[""FA""]]",86.7,1.02,0.85,19.72,2.04,8.5,0.153,0,[1021],[[170.0]],"[[""FA"", 1, 170.0]]"
1010,Ireland,Wheat biscuit cereal with milk and a banana,Wheat biscuit cereal with milk and a banana,Snack,Y,Y,Y,Y,"[[""12-313"", ""11-773""], [""14-318""]]","[[""BAH"", ""AI""], [""FA""]]",386.78,14.716000000000001,4.658,76.97399999999999,7.472,265.08,7.4986,136.52,"[1022, 1005]","[[200.0, 60.0], [118.0]]","[[""BAH"", 1, 200.0], [""AI"", 1, 60.0], [""FA"", 1, 118.0]]"
1011,Ireland,Wholegrain cereal with milk and an orange,Wholegrain cereal with milk and an orange,Breakfast,Y,Y,Y,Y,"[[""12-313"", ""11-763""], [""14-327""]]","[[""BAH"", ""AI""], [""FA""]]",353.72,14.136,5.064,67.484,10.104,307.67999999999995,8.329199999999998,294.96,"[1023, 1024]","[[200.0, 60.0], [172.0]]","[[""BAH"", 1, 200.0], [""AI"", 1, 60.0], [""FA"", 1, 172.0]]"
