ID,Name,Recipe [OPTIONAL],CoFID  ID,Food #1,Quantity (g/ml),CoFID  ID,Food #2,Quantity (g/ml),CoFID  ID,Food #3,Quantity (g/ml),CoFID  ID,Food #4,Quantity (g/ml),CoFID  ID,Food #5,Quantity (g/ml),CoFID  ID,Food #6,Quantity (g/ml),CoFID  ID,Food #7,Quantity (g/ml),CoFID  ID,Food #8,Quantity (g/ml),CoFID  ID,Food #9,Quantity (g/ml),CoFID  ID,Food #10,Quantity (g/ml)
1,Scrambled eggs,,12-963,"Eggs, chicken, whole, scrambled, without milk",100,13-316,"Peppers, capsicum, chilli, green, raw",25,13-499,"Onions, raw",40,,,,,,,,,,,,,,,,,,,,,
2,Whole meal toast,,11-982,"Bread, wholemeal, toasted",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Hummus, plain","Mix together canned/cooked peas with tahini, olive oil, garlic, ground cumin, salt and pepper to taste and water, to have a lighter consistency ",13-670,"Beans, chick peas, canned, re-heated, drained",60,14-847,Tahini paste,15,13-244,"Garlic, raw",3,17-367,Salt,,13-880,"Pepper, black",,,,,,,,,,,,,,,,
4,Roasted pumpkin seeds ,Pan fry pumpkin seeds ,14-842,Pumpkin seeds,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Carrot, beetroot and apple salad ","Mix together shredded carrots, beetroots and apples with apple cider vinegar to taste ",13-448,"Carrots, young, raw",30,13-164,"Beetroot, raw",30,14-319,"Apples, eating, raw, flesh and skin",30,17-339,Vinegar,3,,,,,,,,,,,,,,,,,,
6,Poppy seed oatmeal,"Start cooking rolled oats in low fat milk/plant based milk, add the grounded poppy seed, vanilla, walnut. When it has reached the consistency of your liking, add cottage cheese. Serve it with fresh or frozen sour cherries.",11-789,"Porridge oats, unfortified, cooked, made up with semi-skimmed milk",250,14-382,"Cherries, flesh and skin, raw",60,13-849,Poppy seeds,15,14-879,"Walnuts, kernel only",10,,,,,,,,,,,,,,,,,,
7,Salty cottage cheese spread with dill,"Mix cottage cheese with salt, pepper, and fresh dill. Add some kefir if needed.",12-539,"Cheese, cottage, plain",100,13-824,"Dill, fresh",3,17-367,Salt,,,,,,,,,,,,,,,,,,,,,,
8,Zacusca,"Grill capia or pimento peppers, eggplant until charred, (remove the burnt parts), chop them into small pieces. Chop the onion, and start to cook it on some oil in a big pot. When it has a darker colour, put the grilled and chopped vegetables into the pot with tomato sauce, salt and pepper, then blend it with a hand mixer. Cook for about 1-1.5 hours.",13-524,"Pepper, capsicum, red, raw",30,13-669,"Aubergine, flesh and skin, roasted in rapeseed oil",25,13-499,"Onions, raw",10,17-038,"Oil, olive",5,13-530,"Tomatoes, canned, whole contents",30,17-367,Salt,1,13-880,"Pepper, black",0.5,,,,,,,,,
9,Crispy chickpeas,Bake chickpeas in the air fryer until crispy ,13-670,"Beans, chick peas, canned, re-heated, drained",30,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Fresh salad with red cabbage, carrot, onion, tomatoes ",,13-190,"Cabbage, red, raw",30,13-499,"Onions, raw",10,13-517,"Tomatoes, standard, raw",30,13-448,"Carrots, young, raw",30,,,,,,,,,,,,,,,,,,
11,Ciabatta,,11-969,"Bread, ciabatta",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Baby spinach salad,,13-521,"Spinach, baby, raw",30,15-876,"Salad, tomato and onion",40,,,,,,,,,,,,,,,,,,,,,,,,
13,"Breadsticks, plain",,11-826,"Breadsticks, plain",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Hummus, beetroot",,13-670,"Beans, chick peas, canned, re-heated, drained",50,14-847,Tahini paste,15,13-244,"Garlic, raw",3,17-367,Salt,,13-880,"Pepper, black",,13-633,"Beetroot, cooked in unsalted water",15,,,,,,,,,,,,
15,Sourdough bread,,11-982,"Bread, wholemeal, toasted",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Broccoli sprouts,,13-174,"Broccoli, purple sprouting, raw",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
