ID,Name,Description [OPTIONAL],Contains animal products?,Type,Autumn,Winter,Spring,Summer,ID,Dish #1,ID,Dish #2,ID,Dish #3,ID,Dish #4,ID,Dish #5,ID,Dish #6,ID,Dish #7,ID,Dish #8,ID,Dish #9,ID,Dish #10
1,Scrambled eggs and toast,"Scrambled eggs with onion, hot green pepper and sourdough bread",Egg,Breakfast,Y,Y,Y,Y,1,Scrambled eggs,2,Whole meal toast,12,Baby spinach salad,,,,,,,,,,,,,,
2,Hummus on toast,Hummus on whole wheat toast and pumpkin seeds,Plant based,Breakfast,Y,Y,Y,Y,3,"Hummus, plain",2,Whole meal toast,5,"Carrot, beetroot and apple salad ",,,,,,,,,,,,,,
3,Poppy seed oatmeal,"Porridge with milk, vanilla, poppy seed, sour cherries",Dairy,Breakfast,Y,Y,Y,Y,6,Poppy seed oatmeal,,,,,,,,,,,,,,,,,,
4,Cottage cheese with dill on toast,"Salty cottage cheese spread with dill, rye bread",Dairy,Breakfast,Y,Y,Y,Y,7,Salty cottage cheese spread with dill,11,Ciabatta,10,"Fresh salad with red cabbage, carrot, onion, tomatoes ",,,,,,,,,,,,,,
5,Zacusca on bread stick with roasted chickpeas on top,Eggplant and bell pepper spread on hungarian twisted bread stick with roasted chickpeas on top,Plant based,Breakfast,Y,N,N,Y,8,Zacusca,13,"Breadsticks, plain",9,Crispy chickpeas,,,,,,,,,,,,,,
6,Lentil pottage with falafel,Hearty lentil stew,Plant based,Lunch,Y,Y,Y,Y,203,Lentil pottage,111,Falafel,,,,,,,,,,,,,,,,
7,Spaghetti bolognese ,Spaghetti with minced meat ragu,Red meat,Lunch,Y,Y,Y,Y,204,Spaghetti bolognese ,,,,,,,,,,,,,,,,,,
8,Mushroom stew with cooked potatoes and parsley,Onion and paprika based mushroom stew ,Plant based,Lunch,Y,Y,Y,Y,205,Mushroom stew,115,Cooked potatoes with parsley,,,,,,,,,,,,,,,,
9,Chicken breast in breadcrumb with steamed vegetables and white rice,"Deepfried chicken breast with white rice and steamed green peas, carrot",Other meat,Lunch,Y,Y,Y,Y,206,Chicken breast in breadcrumb,222,Steamed carrot and peas,119,Steamed white rice,,,,,,,,,,,,,,
10,Roasted duck breast with braised red cabbage and apple,,Other meat,Lunch,Y,Y,Y,Y,207,Roasted duck breast,221,Braised red cabbage and apple,,,,,,,,,,,,,,,,
11,Tofu and vegetables stirfry,,Plant based,Dinner,Y,Y,Y,Y,208,Tofu and vegetables stirfry,,,,,,,,,,,,,,,,,,
12,Shaksuka with pita bread,"Poached eggs in a souce of tomatoes, peppers, onion, garlic, paprika",Egg,Dinner,Y,Y,Y,Y,209,Shaksuka,24,Pitta bread,,,,,,,,,,,,,,,,
13,Warm quinoa salad,"Baked root vegetables, quinoa, beans, topped with walnut and sesame seeds",Plant based,Dinner,Y,Y,Y,Y,210,Warm quinoa salad,,,,,,,,,,,,,,,,,,
14,"Tortilla wrap filled with egg, goat cheese, rocket salad and tomato",,Egg,Dinner,Y,Y,Y,Y,211,"Tortilla wrap filled with egg, goat cheese, rocket salad and tomato",,,,,,,,,,,,,,,,,,
15,Liver pâté with ciabatta and grapes,,Other meat,Dinner,Y,Y,N,N,201,Liver pâté,11,Ciabatta,101,grapes,,,,,,,,,,,,,,
16,Apples with almonds,,Plant based,Snack,Y,Y,Y,Y,66,apple,212,Almond,,,,,,,,,,,,,,,,
17,"Yogurt with granola, pear",,Dairy,Snack,Y,Y,N,Y,49,Yogurt,26,Chocolate granola,72,Pear ,,,,,,,,,,,,,,
18,Kefir with bran cracker,,Dairy,Snack,Y,Y,Y,Y,87,Kefir,100,bran crackers,,,,,,,,,,,,,,,,
19,"Carrot, cucumber and celery sticks with blocks of hard cheese",,Dairy,Snack,Y,Y,Y,Y,71,Carrot,76,Cucumber,75,Celery sticks,213,Hard cheese,,,,,,,,,,,,
20,Blueberry smoothie,"Banana, frozen blueberries, baby spinach, cashew nuts, soy milk",Plant based,Snack,Y,Y,Y,Y,214,Blueberry smoothie,,,,,,,,,,,,,,,,,,
21,Beetroot hummus on breadstick with broccoli sprouts,,Plant based,Breakfast,Y,Y,Y,Y,14,"Hummus, beetroot",13,"Breadsticks, plain",16,Broccoli sprouts,,,,,,,,,,,,,,
22,Lentilspread on multigrain buns,,Plant based,Breakfast,Y,Y,Y,Y,17,Lentil spread,18,Multigrain bread,,,,,,,,,,,,,,,,
23,White bean spread with sun-dried tomatoes and crispy tortilla,,Plant based,Breakfast,Y,Y,Y,Y,19,White bean spread with sun-dried tomatoes,20,Crispy tortilla,75,Celery sticks,,,,,,,,,,,,,,
24,Avocado on toast with black sesame seed and crispy chickpeas ,,Plant based,Breakfast,Y,Y,Y,Y,2,Whole meal toast,21,Avocado,9,Crispy chickpeas,22,Black sesame seed,12,Baby spinach salad,,,,,,,,,,
25,Tofu spread on multigrain bread and radish,,Plant based,Breakfast,Y,Y,Y,N,23,Tofu spread,18,Multigrain bread,215,"Radish, red",,,,,,,,,,,,,,
