ID,Name,Description [OPTIONAL],Contains animal products?,Type,Autumn,Winter,Spring,Summer,ID,Dish #1,ID,Dish #2,ID,Dish #3,ID,Dish #4,ID,Dish #5,ID,Dish #6,ID,Dish #7,ID,Dish #8,ID,Dish #9,ID,Dish #10
1,"Tomato toast, fresh cheese and orange",,Dairy,Breakfast,Y,Y,Y,Y,2,tomato toast (pa amb tomaquet),121,Fresh cheese,120,Orange,,,,,,,,,,,,,,
2,"Artichokes, fish canneloni and yogurt",,Other meat,Lunch,Y,Y,Y,N,122,Grilled artichokes,123,fish canneloni,12,plain yogurt,,,,,,,,,,,,,,
3,Nuts and coffe with vegetable drink,,Plant based,Snack,Y,Y,Y,Y,111,mixed roasted nuts,6,coffee with vegetable milk,,,,,,,,,,,,,,,,
4,"Thyme soup, vegetables omelette and apple",,Egg,Dinner,Y,Y,Y,Y,126,thyme soup,125,mixed vegetables omelette,1,apple,,,,,,,,,,,,,,
5,"Milk, tomato toast and apple",,Dairy,Breakfast,Y,Y,N,N,8,whole milk glass,2,tomato toast (pa amb tomaquet),1,apple,,,,,,,,,,,,,,
6,"Winter salad, rabbit with mushrooms and orange",,Other meat,Lunch,Y,Y,N,N,127,celery and curly endive salad,128,rabbit with mushrooms,120,orange,124,sweet wine,,,,,,,,,,,,
7,Bread porridge,,Dairy,Snack,Y,Y,Y,Y,129,milk and bread porridge,,,,,,,,,,,,,,,,,,
8,"Roasted vegetables, catalan salad and pears in wine",,Other meat,Dinner,Y,Y,N,N,44,mixed roasted vegetables,68,catalan salad (xató),130,pears in wine,,,,,,,,,,,,,,
9,"Forner coca, coffee with milk and tangerine",,Dairy,Breakfast,Y,Y,Y,N,131,forner cake (coca),5,coffee with milk,132,tangerine,132,tangerine,,,,,,,,,,,,
10,"Mushrooms, milanese rice and yogurt",,Red meat,Lunch,Y,Y,N,N,134,grilled mushrooms,135,milanese rice,133,skimmed yogurt,,,,,,,,,,,,,,
11,Fresh cheese with honey,,Dairy,Snack,Y,Y,Y,Y,108,fresh cheese with honey (miel y mato),,,,,,,,,,,,,,,,,,
12,"Pickled fish, cauliflower with beans and grapes",,Other meat,Dinner,Y,Y,N,N,136,pickled bream fish,137,cauliflower with beans,109,grapes,,,,,,,,,,,,,,
13,Quince coca and milk,,Dairy,Breakfast,Y,Y,N,N,138,quince cake (coca),8,whole milk glass,109,grapes,,,,,,,,,,,,,,
14,"Vegetables broth, cauliflower with beans and catalan cream",,Dairy,Lunch,Y,Y,N,N,139,vegetable broth,137,cauliflower with beans,141,catalan cream,,,,,,,,,,,,,,
15,"Figs, walnuts and yogurt",,Dairy,Snack,Y,Y,Y,Y,140,figs and walnuts,12,plain yogurt,,,,,,,,,,,,,,,,
16,"Bread soup, artichokes omelette and pomegranate",,Egg,Dinner,Y,Y,N,N,142,bread soup,143,artichokes omelette,144,pomegranate fruit,124,sweet wine,,,,,,,,,,,,
17,"Tomato toast, milk and pear",,Dairy,Breakfast,Y,Y,Y,Y,2,tomato toast (pa amb tomaquet),182,skimmed milk glass,99,pear,,,,,,,,,,,,,,
18,"Green Salad, vegetables rice and roasted apple",,Plant based,Lunch,Y,Y,Y,Y,145,green salad,146,vegetable rice,115,roasted apple,,,,,,,,,,,,,,
19,Greek yogurt and walnuts,,Dairy,Snack,Y,Y,Y,Y,154,greek style yogurt,147,walnuts,,,,,,,,,,,,,,,,
20,"Pumpkin soup, sardines and macedonia",,Other meat,Dinner,Y,Y,N,N,67,pumpkin soup,148,grilled sardines,107,macedonia,,,,,,,,,,,,,,
21,"Coffee with milk, olive oil toast and ornage juice",,Plant based,Breakfast,Y,Y,N,N,5,coffee with milk,10,olive oil toast,26,orange juice,,,,,,,,,,,,,,
22,"Fish broth, fideua and pears in wine",,Other meat,Lunch,Y,Y,N,N,155,fish broth,156,fideua,130,pears in wine,,,,,,,,,,,,,,
23,Banana,,Plant based,Snack,Y,Y,Y,Y,98,banana,,,,,,,,,,,,,,,,,,
24,"Aubergines, beef steak and persimmon fruit",,Red meat,Dinner,Y,Y,Y,Y,157,roasted aubergines,158,beef steak,#NAME?,persimmon fruit,,,,,,,,,,,,,,
25,Bread with honey and skimmed yogurt,,Plant based,Breakfast,Y,Y,Y,Y,159,bread with honey,133,skimmed yogurt,,,,,,,,,,,,,,,,
26,"Squid and artichoke rice, and strawberries",,Other meat,Lunch,Y,Y,Y,N,160,squid and artichokes rice,104,strawberries,,,,,,,,,,,,,,,,
27,Lemon cake,,Dairy,Snack,Y,Y,Y,Y,18,lemon cake,,,,,,,,,,,,,,,,,,
28,"Chicken broth, liver with onion and quince sweet",,Red meat,Dinner,Y,Y,Y,Y,162,chicken broth,51,liver with onion,163,quince sweet,,,,,,,,,,,,,,
29,Pancakes and orange juice,,Dairy,Breakfast,Y,Y,N,N,23,pancakes,26,orange juice,,,,,,,,,,,,,,,,
30,"Beans with chard, tomato scrambled eggs and figs",,Egg,Lunch,Y,Y,Y,Y,164,beans with chard,165,tomato scrambled eggs,166,figs,,,,,,,,,,,,,,
31,Fresh cheese with honey,,Dairy,Snack,Y,Y,Y,Y,108,fresh cheese with honey (miel y mato),,,,,,,,,,,,,,,,,,
32,"Grilled potatoes, endives and blue cheese salad and pear",,Other meat,Dinner,Y,Y,N,N,63,grilled potatoes (patatas a lo pobre),85,blue cheese endives,99,pear,,,,,,,,,,,,,,
33,"Milk and bread porridge, figs and walnuts",,Dairy,Breakfast,Y,N,Y,Y,129,milk and bread porridge,140,figs and walnuts,,,,,,,,,,,,,,,,
34,"Roasted vegetables, beef fricando and rice puding",,Red meat,Lunch,N,N,Y,Y,44,mixed roasted vegetables,47,beef fricando,168,rice pudding,,,,,,,,,,,,,,
35,Watermelon,,Plant based,Snack,N,N,Y,Y,101,watermelon,,,,,,,,,,,,,,,,,,
36,"Boiled beans, hake soup and orange",,Other meat,Dinner,Y,Y,Y,Y,169,boiled beans,170,hake soup,120,orange,,,,,,,,,,,,,,
37,"Coffee with mikl, olive oil toast and ornage juice",,Dairy,Breakfast,N,N,Y,Y,5,coffee with milk,98,banana,#NAME?,forner coca (1/2),#NAME?,forner coca (1/2),,,,,,,,,,,,
38,Empedrat and strawberries,,Other meat,Lunch,N,N,Y,Y,171,empedrat,104,strawberries,,,,,,,,,,,,,,,,
39,Yogurt with fruits,,Dairy,Snack,N,N,Y,Y,15,yogurt with fruits,,,,,,,,,,,,,,,,,,
40,French beans with ham and tomato toast,,Red meat,Dinner,N,N,Y,Y,#NAME?,french beans with ham,2,tomato toast (pa amb tomaquet),,,,,,,,,,,,,,,,
41,"Cheese and tomato toast, and macedonia",,Dairy,Breakfast,Y,Y,Y,Y,173,cheese and tomato toast,107,macedonia,,,,,,,,,,,,,,,,
42,"Green salad, bolognaise pasta and melon",,Red meat,Lunch,Y,Y,Y,Y,145,green salad,3,bolognaise pasta,100,melon,,,,,,,,,,,,,,
43,"Bread, chocolate and olive oil",,Dairy,Snack,Y,Y,Y,Y,174,"bread, chocolate and olive oil",,,,,,,,,,,,,,,,,,
44,"Catalan spinach, squid with ink and peach",,Other meat,Dinner,N,N,Y,Y,50,catalan spinach,76,little squid with ink,175,peach,,,,,,,,,,,,,,
45,"Coffee with milk, vegetal yogurt",,Dairy,Breakfast,N,N,Y,Y,5,coffee with milk,118,vegetal yogurt,105,plum,,,,,,,,,,,,,,
46,"Caprese salad, fideua and melon",,Other meat,Lunch,N,N,Y,Y,91,caprese salad,156,fideua,100,melon,,,,,,,,,,,,,,
47,Watermelon and pistachio nuts,,Dairy,Snack,N,N,Y,Y,101,watermelon,#NAME?,pistachio,,,,,,,,,,,,,,,,
48,"Tomato salda, russian salad and yogurt with fruits",,Other meat,Dinner,N,N,Y,Y,177,tomato salad,33,russian salad,15,yogurt with fruits,,,,,,,,,,,,,,
49,"Milk and bread porridge, mixed roasted nuts",,Dairy,Breakfast,Y,Y,Y,Y,129,milk and bread porridge,111,mixed roasted nuts,,,,,,,,,,,,,,,,
50,"Green salad, fish rice and macedonia",,Other meat,Lunch,Y,Y,Y,Y,145,green salad,59,fish rice (arroz a banda),107,macedonia,,,,,,,,,,,,,,
51,Fresh cheese with honey,,Dairy,Snack,Y,Y,Y,Y,108,fresh cheese with honey (miel y mato),,,,,,,,,,,,,,,,,,
52,Brocoli omelette and han croquettes,,Egg,Dinner,N,N,Y,Y,178,broccoli omelette,56,ham croquettes,,,,,,,,,,,,,,,,
53,"Coffee with milk, ham sandwich and plum",,Red meat,Breakfast,Y,Y,Y,Y,6,coffee with vegetable milk,20,ham sandwich,105,plum,,,,,,,,,,,,,,
54,"Tomato soup, galic rabbit and pears in wine",,Other meat,Lunch,N,N,Y,Y,92,tomato soup (gazpacho),95,garlic rabbit,130,pears in wine,,,,,,,,,,,,,,
55,Cream cheese and honey toast,,Plant based,Snack,Y,Y,Y,Y,151,cream cheese and honey toast,,,,,,,,,,,,,,,,,,
56,"Vegetable hamburguer, grilled potatoes and melon",,Plant based,Dinner,Y,Y,Y,Y,90,"vegetable ""hamburguer""",63,grilled potatoes (patatas a lo pobre),100,melon,,,,,,,,,,,,,,
57,"Coffee, olive oil toast and scrambled eggs",,Egg,Breakfast,Y,Y,Y,Y,7,coffee,10,olive oil toast,17,scrambled eggs,,,,,,,,,,,,,,
58,"Green salad, cuttlefish meatballs and yogurt",,Other meat,Lunch,Y,Y,Y,Y,145,green salad,34,cuttlefish meatballs,12,plain yogurt,,,,,,,,,,,,,,
59,Peach and walnuts,,Plant based,Snack,N,N,Y,Y,175,peach,147,walnuts,,,,,,,,,,,,,,,,
60,Vegetables lasagna and grapes,,Other meat,Dinner,Y,Y,Y,Y,97,vegetables lasagna,109,grapes,,,,,,,,,,,,,,,,
61,Oat porridge and peach,,Dairy,Breakfast,Y,Y,Y,Y,13,oat porridge,175,peach,,,,,,,,,,,,,,,,
62,"Tuna salad, roasted aubergines and melon",,Other meat,Lunch,N,N,Y,Y,152,tuna salad,157,roasted aubergines,100,melon,,,,,,,,,,,,,,
63,Pancakes and orange juice,,Dairy,Snack,Y,Y,Y,Y,23,pancakes,26,orange juice,,,,,,,,,,,,,,,,
64,"Pea soup, grilled sardines and yogurt with fruits",,Other meat,Dinner,N,N,Y,Y,148,grilled sardines,75,pea soup,15,yogurt with fruits,,,,,,,,,,,,,,
65,Coffee and pancakes,,Dairy,Breakfast,Y,Y,Y,Y,7,coffee,23,pancakes,,,,,,,,,,,,,,,,
66,"Roast chicken, grilled potatoes and orange",,Other meat,Lunch,Y,Y,N,N,36,roast chicken,63,grilled potatoes (patatas a lo pobre),120,orange,,,,,,,,,,,,,,
67,Banana,,Plant based,Snack,Y,Y,Y,Y,98,banana,,,,,,,,,,,,,,,,,,
68,Chickpeas with spinach and greek yogurt,,Dairy,Dinner,Y,Y,N,N,58,chickpeas with spinach,154,greek style yogurt,,,,,,,,,,,,,,,,
69,Coffee with vegetable milk and avocado toast,,Plant based,Breakfast,Y,Y,Y,Y,6,coffee with vegetable milk,16,avocado toast,,,,,,,,,,,,,,,,
70,"Caprese salad, squid with ink and pear",,Other meat,Lunch,Y,Y,Y,Y,91,caprese salad,76,little squid with ink,99,pear,,,,,,,,,,,,,,
71,Yogurt and mied dried fruits,,Dairy,Snack,Y,Y,Y,Y,12,plain yogurt,113,mixed dried fruits,,,,,,,,,,,,,,,,
